File,Cluster
01-MFCC.csv,4
02-MFCC.csv,4
03-MFCC.csv,3
04-MFCC.csv,0
05-MFCC.csv,2
06-MFCC.csv,0
07-MFCC.csv,1
08-MFCC.csv,3
09-MFCC.csv,2
10-MFCC.csv,5
100-MFCC.csv,2
101-MFCC.csv,1
102-MFCC.csv,5
103-MFCC.csv,3
104-MFCC.csv,0
105-MFCC.csv,5
106-MFCC.csv,1
107-MFCC.csv,4
108-MFCC.csv,4
109-MFCC.csv,3
11-MFCC.csv,5
110-MFCC.csv,1
111-MFCC.csv,2
112-MFCC.csv,5
113-MFCC.csv,0
114-MFCC.csv,1
115-MFCC.csv,5
116-MFCC.csv,4
12-MFCC.csv,3
13-MFCC.csv,5
14-MFCC.csv,1
15-MFCC.csv,0
16-MFCC.csv,4
17-MFCC.csv,4
18-MFCC.csv,2
19-MFCC.csv,5
20-MFCC.csv,3
21-MFCC.csv,0
22-MFCC.csv,1
23-MFCC.csv,1
24-MFCC.csv,3
25-MFCC.csv,5
26-MFCC.csv,2
27-MFCC.csv,4
28-MFCC.csv,2
29-MFCC.csv,2
30-MFCC.csv,1
31-MFCC.csv,1
32-MFCC.csv,0
33-MFCC.csv,5
34-MFCC.csv,0
35-MFCC.csv,4
36-MFCC.csv,1
37-MFCC.csv,1
38-MFCC.csv,5
39-MFCC.csv,5
40-MFCC.csv,5
41-MFCC.csv,5
42-MFCC.csv,0
43-MFCC.csv,5
44-MFCC.csv,3
45-MFCC.csv,4
46-MFCC.csv,2
47-MFCC.csv,3
48-MFCC.csv,0
49-MFCC.csv,5
50-MFCC.csv,2
51-MFCC.csv,2
52-MFCC.csv,5
53-MFCC.csv,3
54-MFCC.csv,1
55-MFCC.csv,1
56-MFCC.csv,5
57-MFCC.csv,1
58-MFCC.csv,1
59-MFCC.csv,2
60-MFCC.csv,1
61-MFCC.csv,4
62-MFCC.csv,0
63-MFCC.csv,2
64-MFCC.csv,1
65-MFCC.csv,0
66-MFCC.csv,2
67-MFCC.csv,4
68-MFCC.csv,1
69-MFCC.csv,3
70-MFCC.csv,3
71-MFCC.csv,1
72-MFCC.csv,0
73-MFCC.csv,5
74-MFCC.csv,3
75-MFCC.csv,4
76-MFCC.csv,5
77-MFCC.csv,5
78-MFCC.csv,3
79-MFCC.csv,5
80-MFCC.csv,2
81-MFCC.csv,4
82-MFCC.csv,2
83-MFCC.csv,2
84-MFCC.csv,2
85-MFCC.csv,5
86-MFCC.csv,3
87-MFCC.csv,4
88-MFCC.csv,0
89-MFCC.csv,3
90-MFCC.csv,4
91-MFCC.csv,5
92-MFCC.csv,1
93-MFCC.csv,2
94-MFCC.csv,1
95-MFCC.csv,4
96-MFCC.csv,2
97-MFCC.csv,2
98-MFCC.csv,1
99-MFCC.csv,5
